Train Number,Train Name,Train Source Stn,Source Dep. Time,Train Destination Stn,Dest. Arr. Time
15624,KYQ BGKT EXPRESS,KAMAKHYA       ,17:15,BHAGAT KI KOTHI,22:00
15629,GUWAHATI EXPRESS,CHENNAI EGMORE ,22:30,GUWAHATI       ,04:55
15630,GUWAHATI MS EXP ,GUWAHATI       ,15:00,CHENNAI EGMORE ,20:15
15631,BME GHY EXPRESS ,BARMER         ,22:45,GUWAHATI       ,23:55
15632,GHY BME BKN EXP ,GUWAHATI       ,10:45,BARMER         ,09:00
15635,GUWAHATI EXPRES ,OKHA           ,11:25,GUWAHATI       ,07:05
15636,DWARKA  EXPRESS ,GUWAHATI       ,10:45,OKHA           ,04:20
15639,PURI GHY EXPRESS,PURI           ,14:00,GUWAHATI       ,22:10
15640,GHY PURI EXPRESS,GUWAHATI       ,18:45,PURI           ,03:20
15643,PURI KYQ EXPRESS,PURI           ,22:15,KAMAKHYA       ,05:00
15644,KYQ PURI EXPRESS,KAMAKHYA       ,23:45,PURI           ,07:45
15645,GUWAHATI EXPRES ,LOKMANYATILAK T,08:05,GUWAHATI       ,11:30
15646,GHY LTT EXP     ,GUWAHATI       ,16:45,LOKMANYATILAK T,20:00
15647,GUWAHATI EXPRES ,LOKMANYATILAK T,08:05,GUWAHATI       ,13:00
15648,GHY LTT EXPRESS ,GUWAHATI       ,15:00,LOKMANYATILAK T,20:00
15651,LOHIT EXPRESS   ,GUWAHATI       ,13:15,JAMMU TAWI     ,12:30
15652,LOHIT EXPRESS   ,JAMMU TAWI     ,22:45,GUWAHATI       ,23:30
15653,AMARNATH EXPRESS,GUWAHATI       ,13:15,JAMMU TAWI     ,12:30
15654,JAMMU GHY EXPRES,JAMMU TAWI     ,22:45,GUWAHATI       ,23:30
15657,KANCHANJANGA EXP,SEALDAH        ,06:35,GUWAHATI       ,04:15
15658,KANCHANJUNGA EX ,GUWAHATI       ,22:30,SEALDAH        ,19:25
15661,RNC  KYQ EXPRES ,RANCHI         ,20:40,KAMAKHYA       ,22:00
15662,KYQ RNC EXPRESS ,KAMAKHYA       ,12:00,RANCHI         ,14:15
15665,B  G  EXPRESS   ,KAMAKHYA       ,13:45,DIMAPUR        ,19:50
15666,B G EXPRESS     ,DIMAPUR        ,21:45,KAMAKHYA       ,04:00
15667,KAMAKHYA EXPRESS,GANDHIDHAM BG  ,13:15,KAMAKHYA       ,06:00
15668,KYQ GIMB EXPRESS,KAMAKHYA       ,11:00,GANDHIDHAM BG  ,04:00
15669,NAGALAND EXPRESS,KAMAKHYA       ,23:10,DIMAPUR        ,05:10
15670,NAGALAND EXPRESS,DIMAPUR        ,06:00,KAMAKHYA       ,11:45
15693,BARAK VALLEY EX ,LUMDING JN     ,04:25,SILCHAR        ,17:45
15694,BARAK VALLEY EXP,SILCHAR        ,09:45,LUMDING JN     ,22:25
15707,KIR ASR EXPRESS ,KATIHAR JN     ,22:45,AMRITSAR JN    ,12:45
15708,ASR KIR EXPRESS ,AMRITSAR JN    ,07:15,KATIHAR JN     ,20:10
15711,HWH KIR EXPRESS ,HOWRAH JN      ,21:55,KATIHAR JN     ,06:45
15712,KIR HWH EXPRESS ,KATIHAR JN     ,22:30,HOWRAH JN      ,07:20
15713,INTERCITY EXP   ,KATIHAR JN     ,06:15,PATNA JN       ,12:40
15714,INTERCITY EXP   ,PATNA JN       ,14:15,KATIHAR JN     ,21:25
15715,GARIB NAWAJ EXP ,KISHANGANJ     ,06:05,AJMER JN       ,21:30
15716,GARIB NAWAJ EXP ,AJMER JN       ,11:05,KISHANGANJ     ,03:30
15719,INTERCITY       ,KATIHAR JN     ,06:20,SILIGURI JN    ,11:00
15720,INTERCITY       ,SILIGURI JN    ,16:45,KATIHAR JN     ,22:05
15721,PAHARIA EXPRESS ,DIGHA FLAG STN ,16:30,NEW JALPAIGURI ,08:45
15722,PAHARIA EXPRESS ,NEW JALPAIGURI ,21:15,DIGHA FLAG STN ,12:00
15723,NJP SMI EXPRESS ,NEW JALPAIGURI ,22:15,SITAMARHI      ,10:30
15724,SMI NJP EXPRESS ,SITAMARHI      ,16:45,NEW JALPAIGURI ,05:50
15815,INTERCITY EXP   ,KAMAKHYA       ,16:00,DEKARGAON      ,21:15
15816,INTERCITY EXP   ,DEKARGAON      ,05:00,KAMAKHYA       ,10:00
15817,DBB SHTT RR EXP ,DHUBRI         ,21:00,SILGHAT TOWN   ,09:55
15818,SHTT DBB RR EXP ,SILGHAT TOWN   ,16:40,DHUBRI         ,05:00
